symbol,sector
AMZN,Consumer Discretionary
AN,Consumer Discretionary
AZO,Consumer Discretionary
BBBY,Consumer Discretionary
BBY,Consumer Discretionary
CCL,Consumer Discretionary
CMCSA,Consumer Discretionary
COH,Consumer Discretionary
CVC,Consumer Discretionary
DHI,Consumer Discretionary
DIS,Consumer Discretionary
DRI,Consumer Discretionary
DTV,Consumer Discretionary
F,Consumer Discretionary
FDO,Consumer Discretionary
FOSL,Consumer Discretionary
GCI,Consumer Discretionary
GME,Consumer Discretionary
GPC,Consumer Discretionary
GPS,Consumer Discretionary
GT,Consumer Discretionary
HAR,Consumer Discretionary
HAS,Consumer Discretionary
HD,Consumer Discretionary
HOG,Consumer Discretionary
HOT,Consumer Discretionary
HRB,Consumer Discretionary
IPG,Consumer Discretionary
JCI,Consumer Discretionary
JWN,Consumer Discretionary
KMX,Consumer Discretionary
KSS,Consumer Discretionary
LEG,Consumer Discretionary
LEN,Consumer Discretionary
LOW,Consumer Discretionary
M,Consumer Discretionary
MAR,Consumer Discretionary
MAT,Consumer Discretionary
MCD,Consumer Discretionary
NKE,Consumer Discretionary
NWL,Consumer Discretionary
NWSA,Consumer Discretionary
OMC,Consumer Discretionary
ORLY,Consumer Discretionary
PHM,Consumer Discretionary
RL,Consumer Discretionary
ROST,Consumer Discretionary
SBUX,Consumer Discretionary
SHW,Consumer Discretionary
SNA,Consumer Discretionary
SPLS,Consumer Discretionary
SWK,Consumer Discretionary
TGT,Consumer Discretionary
TIF,Consumer Discretionary
TJX,Consumer Discretionary
TWX,Consumer Discretionary
URBN,Consumer Discretionary
VFC,Consumer Discretionary
WHR,Consumer Discretionary
WYNN,Consumer Discretionary
YUM,Consumer Discretionary
ADM,Consumer Staples
AVP,Consumer Staples
CCE,Consumer Staples
CL,Consumer Staples
CLX,Consumer Staples
COST,Consumer Staples
CPB,Consumer Staples
CVS,Consumer Staples
EL,Consumer Staples
GIS,Consumer Staples
HRL,Consumer Staples
HSY,Consumer Staples
K,Consumer Staples
KMB,Consumer Staples
KO,Consumer Staples
KR,Consumer Staples
MKC,Consumer Staples
MO,Consumer Staples
PEP,Consumer Staples
PG,Consumer Staples
RAI,Consumer Staples
SJM,Consumer Staples
STZ,Consumer Staples
SWY,Consumer Staples
SYY,Consumer Staples
TAP,Consumer Staples
TSN,Consumer Staples
WAG,Consumer Staples
WFM,Consumer Staples
WMT,Consumer Staples
APA,Energy
APC,Energy
BHI,Energy
BTU,Energy
CAM,Energy
CHK,Energy
CNX,Energy
COG,Energy
COP,Energy
CVX,Energy
DNR,Energy
DO,Energy
DVN,Energy
EOG,Energy
FTI,Energy
HAL,Energy
HES,Energy
HP,Energy
MRO,Energy
MUR,Energy
NBL,Energy
NBR,Energy
NE,Energy
NFX,Energy
NOV,Energy
OXY,Energy
PXD,Energy
RDC,Energy
RRC,Energy
SLB,Energy
SWN,Energy
TSO,Energy
VLO,Energy
WMB,Energy
XOM,Energy
ACE,Financials
AFL,Financials
AIG,Financials
AIV,Financials
ALL,Financials
AMT,Financials
AON,Financials
AVB,Financials
AXP,Financials
BAC,Financials
BBT,Financials
BEN,Financials
BK,Financials
BLK,Financials
BXP,Financials
C,Financials
CB,Financials
CINF,Financials
CMA,Financials
CME,Financials
COF,Financials
EFX,Financials
EQR,Financials
ETFC,Financials
FITB,Financials
GS,Financials
HBAN,Financials
HCBK,Financials
HCN,Financials
HCP,Financials
HIG,Financials
HST,Financials
IVZ,Financials
JPM,Financials
KEY,Financials
L,Financials
LM,Financials
LNC,Financials
LUK,Financials
MCO,Financials
MET,Financials
MHFI,Financials
MMC,Financials
MS,Financials
MTB,Financials
NDAQ,Financials
NTRS,Financials
